Titulo,Contenido,Fecha,Fuente,Categoria,Autor,Link,Clasificacion,Narrativa
1728771245552845114,"1. Ghana’s debt: Ghc21B in 2016 to Ghc575B in 2023

2. Inflation: 17% in 2016 to 43% in 2023

3. Banks collapse, DDEP, etc

3. Ghana is now a bad economic example that other African countries, Kenya, etc. fear being in our situation.

Akufo-Addo is Ghana’s  biggest disaster ever! https://t.co/XC7RzZSEuq",2023-11-26 13:42:38+00:00,https://twitter.com/BongoIdeas/status/1728771245552845114,Tweet,BongoIdeas,https://twitter.com/BongoIdeas/status/1728771245552845114,Tweet,
1728763886533329296,"It’s funny watching folks complain about how everything so expensive, when most of them are the reason for the inflation. Cuz when you had it you was over spending. Now that u ain’t got it u expect stuff to just go back down.",2023-11-26 13:13:24+00:00,https://twitter.com/lilduval/status/1728763886533329296,Tweet,lilduval,https://twitter.com/lilduval/status/1728763886533329296,Tweet,
1728754293854085529,acting like inflation's not beating my ass rn,2023-11-26 12:35:17+00:00,https://twitter.com/jasondhakal/status/1728754293854085529,Tweet,jasondhakal,https://twitter.com/jasondhakal/status/1728754293854085529,Tweet,
1728481225478742194,There is no inflation in salvation. https://t.co/hPiHgXXAZJ,2023-11-25 18:30:12+00:00,https://twitter.com/livechristian1/status/1728481225478742194,Tweet,livechristian1,https://twitter.com/livechristian1/status/1728481225478742194,Tweet,
1728554205588140270,"Trickle-down economics failed the middle class.

Under President Biden, wages are higher than before the pandemic, inflation is falling since its pandemic spikes, and unemployment is under 4% for the longest stretch in 50 years.",2023-11-25 23:20:12+00:00,https://twitter.com/SecretaryPete/status/1728554205588140270,Tweet,SecretaryPete,https://twitter.com/SecretaryPete/status/1728554205588140270,Tweet,
1728748826821865630,There was no such thing as inflation in 2017. https://t.co/sE1lQpBkSx,2023-11-26 12:13:33+00:00,https://twitter.com/PresPMLNPunjab/status/1728748826821865630,Tweet,PresPMLNPunjab,https://twitter.com/PresPMLNPunjab/status/1728748826821865630,Tweet,
1728763037849428181,"A Bitcoin ETF means more individuals and institutions will be able to borrow against their Bitcoin.

This will expand the legacy financial system, and lead to higher inflation rates over time.

Anyone holding cash is going to lose wealth at even faster rates going forward.",2023-11-26 13:10:01+00:00,https://twitter.com/rajatsonifnance/status/1728763037849428181,Tweet,rajatsonifnance,https://twitter.com/rajatsonifnance/status/1728763037849428181,Tweet,
1728734999283741158,"If you want to learn about business, the late 1800s and 1900s offer absolute gems.

Here are the best books on some of the most successful businessmen of all time:

1. Titan - The Life of John D. Rockefeller

Inflation-adjusted, Rockefeller would be worth over $400 billion. https://t.co/QvsETnNm2X",2023-11-26 11:18:36+00:00,https://twitter.com/MnkeDaniel/status/1728734999283741158,Tweet,MnkeDaniel,https://twitter.com/MnkeDaniel/status/1728734999283741158,Tweet,
1728764748831830257,"REFLECTION

Every time you remember that the sea never dry, let it inspire you further of the Mercy of the supreme Creator that never ceases, in spite of the increasing inflation &amp; challenges in the land.",2023-11-26 13:16:49+00:00,https://twitter.com/gilbert_loveth/status/1728764748831830257,Tweet,gilbert_loveth,https://twitter.com/gilbert_loveth/status/1728764748831830257,Tweet,
1728541108005711898,"En 1 min, j’ai capturé le body proposé par @MagaliBerdah et j’ai lancé la recherche sur #Aliexpress 
Même photo du mannequin juste le prix qui change 
39,99 euros ou 12,67 euros 🤡
#dropshipping #inflation #abusé #influvoleur #Onnousprendpourdescons https://t.co/aGBVZ8UATZ",2023-11-25 22:28:09+00:00,https://twitter.com/KrysSocialMedia/status/1728541108005711898,Tweet,KrysSocialMedia,https://twitter.com/KrysSocialMedia/status/1728541108005711898,Tweet,
